Material,Starting Stock,Used,Remaining,Reorder Level,Alert,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
,0,0,0,,RESTOCK,
